GBFS - h2 - Puzzle #4 - Search
0 0 0 
1 1 3 BBB..MCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
1 1 3 .BBB.MCCDD.MAAKL.MJ.KLEEJ...GGJHHHII
1 1 3 BBB..MCC.DDMAAKL.MJ.KLEEJ...GGJHHHII
2 2 2 BBB..MCCDD.MAAK..MJ.KLEEJGGL..JHHHII
3 3 2 BBB..MCC.DDMAAK..MJ.KLEEJGGL..JHHHII
3 3 2 .BBB.MCC.DDMAAK..MJ.KLEEJGGL..JHHHII
4 4 2 BBB..MCCKDDMAAK..MJ..LEEJGGL..JHHHII
4 4 2 ..BBBMCCDD.MAAKL.MJ.KLEEJGG...JHHHII
4 4 2 .BBB.MCC.DDMAAKL.MJ.KLEEJGG...JHHHII
4 4 2 BBB..M.CCDDMAAKL.MJ.KLEEJGG...JHHHII
5 5 2 BBB..MCCKDDMAAKL.MJ..LEEJGG...JHHHII
5 5 2 ..BBBMCC.DDMAAKL.MJ.KLEEJGG...JHHHII
5 5 2 .BBB.M.CCDDMAAKL.MJ.KLEEJGG...JHHHII
6 6 2 .BBB.MCCKDDMAAKL.MJ..LEEJGG...JHHHII
6 6 2 ..BBBM.CCDDMAAKL.MJ.KLEEJGG...JHHHII
1 1 3 ..BBBMCCKDDMAAKL.MJ..LEEJGG...JHHHII
2 2 2 BBB..MCCDD.MAA.L.MJ.KLEEJ.KGG.JHHHII
3 3 2 BBB..MCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII
3 3 2 .BBB.MCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII
3 3 2 BBB..MCC.DDMAA.L.MJ.KLEEJ.K.GGJHHHII
3 3 2 BBB..MCCDD.M.AAL.MJ.KLEEJ.K.GGJHHHII
4 4 1 BBB..MCCDD.MAA...MJ.KLEEJ.KLGGJHHHII
5 5 1 BBB..MCCDD.MAAK..MJ.KLEEJ..LGGJHHHII
5 5 1 .BBB.MCCDD.MAAK..MJ.KLEEJ..LGGJHHHII
5 5 1 BBB..MCCKDDMAAK..MJ..LEEJ..LGGJHHHII
5 5 1 BBB..MCCKDDMAAK..MJ..LEEJ..LGGJHHHII
5 5 1 BBB..MCCKDDMAAK..MJ..LEEJ..LGGJHHHII
